family,N,d,q,p,sample_idx,relax_core_ratio,relax_rounded_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,5,,0.25,1,11,0.20833333333333334,1.0,0.811197002927508,0.48607891094024724
Gilbert,5,,0.25,1,12,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.25,1,13,0.0,1.0,0.75,0.5000000000000002
Gilbert,5,,0.25,1,14,0.20833333333333334,1.0,0.843549284664574,0.39802367869239436
Gilbert,5,,0.25,1,15,0.20833333333333334,1.0,0.8111970029275083,0.4860789109402473
Gilbert,5,,0.25,1,16,0.20833333333333334,1.0,0.843549284664574,0.39802367869239436
Gilbert,5,,0.25,1,17,0.17708333333333334,0.5,0.6075715976024811,0.3463913464438522
Gilbert,5,,0.25,1,18,0.3333333333333333,1.0,0.792384223513977,0.48607891094024724
Gilbert,5,,0.25,1,19,0.3333333333333333,1.0,0.5036650431106694,0.47283446583475874
Gilbert,5,,0.25,2,0,0.20833333333333334,1.0,0.9292994466798926,0.7086555675210491
Gilbert,5,,0.25,2,1,0.20833333333333334,1.0,0.9459356698839209,0.8417319942414752
Gilbert,5,,0.25,2,2,0.125,1.0,0.9929963775681675,0.973322696278797
Gilbert,5,,0.25,2,3,0.125,1.0,0.9929963775681676,0.9733226962787966
Gilbert,5,,0.25,2,4,0.0,1.0,0.75,0.49999999999999967
Gilbert,5,,0.25,2,5,0.20833333333333334,1.0,0.9459356698839207,0.8417319942414755
Gilbert,5,,0.25,2,6,0.20833333333333334,1.0,0.9294579910434942,0.6636953026612443
Gilbert,5,,0.25,2,7,0.3333333333333333,1.0,0.991447952877901,0.9607353718803423
Gilbert,5,,0.25,2,8,0.20833333333333334,1.0,0.9294579910434941,0.6636953026612443
Gilbert,5,,0.25,2,9,0.125,1.0,0.8742619963707232,0.70759824722439
Gilbert,5,,0.25,2,10,0.20833333333333334,1.0,0.9292994466798931,0.7086555675210491
Gilbert,5,,0.25,2,11,0.20833333333333334,1.0,0.9459356698839209,0.8417319942414753
Gilbert,5,,0.25,2,12,0.0,1.0,0.75,0.49999999999999967
Gilbert,5,,0.25,2,13,0.0,1.0,0.75,0.49999999999999967
Gilbert,5,,0.25,2,14,0.20833333333333334,1.0,0.9292994466798928,0.7086555675210491
Gilbert,5,,0.25,2,15,0.20833333333333334,1.0,0.9459356698839203,0.8417319942414748
Gilbert,5,,0.25,2,16,0.20833333333333334,1.0,0.9292994466798928,0.7086555675210487
Gilbert,5,,0.25,2,17,0.17708333333333334,0.5,0.7170314718126622,0.5179045103468054
Gilbert,5,,0.25,2,18,0.3333333333333333,1.0,0.9192924590850073,0.8417319942414753
Gilbert,5,,0.25,2,19,0.3333333333333333,1.0,0.8482934124708259,0.741629332838243
Gilbert,5,,0.25,3,0,0.20833333333333334,1.0,0.9679022526226823,0.8634360061415892
Gilbert,5,,0.25,3,1,0.20833333333333334,1.0,0.9612375696426856,0.9361544540962803
Gilbert,5,,0.25,3,2,0.125,1.0,0.999999999997756,0.9999999999992133
Gilbert,5,,0.25,3,3,0.125,1.0,0.9999999999977558,0.999999999999213
Gilbert,5,,0.25,3,4,0.0,1.0,0.75,0.5000000000000004
Gilbert,5,,0.25,3,5,0.20833333333333334,1.0,0.9612375696426848,0.9361544540962798
Gilbert,5,,0.25,3,6,0.20833333333333334,1.0,0.9676961374146732,0.92108924124005
Gilbert,5,,0.25,3,7,0.3333333333333333,1.0,0.9999999999424986,0.9999999999819812
Gilbert,5,,0.25,3,8,0.20833333333333334,1.0,0.9676961374146732,0.9210892412400499
Gilbert,5,,0.25,3,9,0.125,1.0,0.9218388620558415,0.7346918252412937
Gilbert,5,,0.25,3,10,0.20833333333333334,1.0,0.9679022526226828,0.863436006141589
Gilbert,5,,0.25,3,11,0.20833333333333334,1.0,0.9612375696426853,0.9361544540962798
Gilbert,5,,0.25,3,12,0.0,1.0,0.75,0.5000000000000004
Gilbert,5,,0.25,3,13,0.0,1.0,0.75,0.5000000000000004
Gilbert,5,,0.25,3,14,0.20833333333333334,1.0,0.9679022526226809,0.8634360061415887
Gilbert,5,,0.25,3,15,0.20833333333333334,1.0,0.9612375696426853,0.9361544540962798
Gilbert,5,,0.25,3,16,0.20833333333333334,1.0,0.9679022526226818,0.8634360061415892
Gilbert,5,,0.25,3,17,0.17708333333333334,0.5,0.8056319854451695,0.8375062685184532
Gilbert,5,,0.25,3,18,0.3333333333333333,1.0,0.9634433425961623,0.9361544540962798
