family,N,d,q,p,relax_core_ratio_mean,relax_core_ratio_stderr,relax_rounded_ratio_mean,relax_rounded_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
Gilbert,7,,0.5,3,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.6233622470372033,0.11092806676539613,0.5746364899690001,0.08023528122369057
Gilbert,7,,0.5,4,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.7253845891763226,0.08965537758502802,0.7141345866396125,0.052893126117199214
Gilbert,7,,0.5,5,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.7471294380829941,0.08548955886761123,0.7494013018154004,0.050304468256969236
Gilbert,7,,0.5,6,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.7643386983147589,0.0738406330363215,0.8028978205760517,0.04063294106903132
Gilbert,7,,0.5,7,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.8277154480270804,0.06867018966396066,0.8328734175992615,0.04019054872125257
Gilbert,7,,0.5,8,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.7729930071125706,0.08352953587671985,0.8631847872888025,0.034590960850145604
Gilbert,7,,0.5,9,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.7847088634505783,0.08657552146270969,0.8888959461718886,0.033237439725963665
Gilbert,7,,0.5,10,0.22337962962962965,0.025165295029119097,0.3703703703703704,0.24180675661482584,0.7842576240854643,0.08736214197056967,0.7673538860351246,0.10792244567552
Gilbert,8,,0.1,1,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.8183744261455758,0.04840751440087529,0.7607775910505523,0.041559650978365795
Gilbert,8,,0.1,2,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9422253561846731,0.01841555110044893,0.8911320917641886,0.02990483454433282
Gilbert,8,,0.1,3,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9782569653074805,0.013551654762013362,0.9420061121047402,0.026311924589383716
Gilbert,8,,0.1,4,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9839783541890437,0.01266049048342316,0.9605927558852315,0.025208396863114338
Gilbert,8,,0.1,5,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9842667285945292,0.012674887368800354,0.9614254111913538,0.02539071303804378
Gilbert,8,,0.1,6,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9847856059116887,0.012646241860251308,0.966966001329465,0.02503814091269004
Gilbert,8,,0.1,7,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9871694939123785,0.01248682891118283,0.9708029913057402,0.02489837813862227
Gilbert,8,,0.1,8,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9872958554300484,0.012490904284631966,0.9707775951397446,0.02493411217052935
Gilbert,8,,0.1,9,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9874287072044506,0.012496446569051719,0.9713440737445795,0.02496699547614887
Gilbert,8,,0.1,10,0.13276785714285716,0.019917070251121605,0.99,0.009999999999999998,0.9874951613129287,0.012499746099874667,0.97407761002631,0.024964789479320907
Gilbert,8,,0.25,1,0.22151413690476188,0.017061687485155484,0.9574999999999999,0.027452111413380057,0.4996647336178672,0.05337801102353934,0.44629459723759546,0.032459876519356064
Gilbert,8,,0.25,2,0.22151413690476188,0.017061687485155484,0.9574999999999999,0.027452111413380057,0.8012811290014342,0.025643906282303668,0.6466255476187481,0.03517767233476024
Gilbert,8,,0.25,3,0.22151413690476188,0.017061687485155484,0.9574999999999999,0.027452111413380057,0.8461072469104997,0.033499898194028065,0.7398851473016316,0.02764828409813622
Gilbert,8,,0.25,4,0.22151413690476188,0.017061687485155484,0.9574999999999999,0.027452111413380057,0.9162654027157829,0.023614899470344827,0.8183786138200194,0.02179877661627813
