family,N,q,p,times_mean,times_stderr,evals_mean,evals_stderr,aratio_mean,aratio_stderr
complete,12,,5,43.96991488500498,nan,564.0,nan,0.9910795095167302,nan
complete,13,,5,52.85060654114932,nan,592.0,nan,0.9912799119952638,nan
complete,14,,5,71.56884547695518,nan,676.0,nan,0.9915337705508129,nan
complete,15,,5,79.32660497818142,nan,656.0,nan,0.9917919805512412,nan
complete,16,,5,89.36912397108972,nan,646.0,nan,0.9920227679337827,nan
complete,17,,5,106.52415653993376,nan,646.0,nan,0.9922225911686127,nan
complete,18,,5,92.15007455996238,nan,492.0,nan,0.953438849941179,nan
complete,19,,5,226.8374410411343,nan,914.0,nan,0.9899413634976497,nan
complete,20,,5,159.04758531507105,nan,596.0,nan,0.9521950190201949,nan
complete,5,,7,17.66689096693881,nan,820.0,nan,0.9999999973792462,nan
complete,6,,7,22.329230396077037,nan,746.0,nan,0.9999999951515908,nan
complete,7,,7,54.142668508924544,nan,1262.0,nan,0.9379301600456991,nan
complete,8,,7,69.30513678910211,nan,1386.0,nan,0.9704383174380933,nan
complete,9,,7,71.93169181304984,nan,1134.0,nan,0.7866798433917808,nan
complete,10,,7,108.13460052199662,nan,1432.0,nan,0.59854400662174,nan
complete,11,,7,156.38819321314804,nan,1674.0,nan,0.9999707835299247,nan
complete,12,,7,150.3727854799945,nan,1434.0,nan,0.9999700669585181,nan
complete,13,,7,199.72938310401514,nan,1594.0,nan,0.9999783406524756,nan
complete,14,,7,242.65216184710152,nan,1700.0,nan,0.9999617916385368,nan
complete,15,,7,254.39818294905126,nan,1528.0,nan,0.9999881841929152,nan
complete,16,,7,246.50489028799348,nan,1328.0,nan,0.9992394897240331,nan
complete,17,,7,370.186254973989,nan,1626.0,nan,0.9999387788675733,nan
complete,18,,7,489.2843767402228,nan,1666.0,nan,0.9998562992286608,nan
complete,19,,7,585.2513006720692,nan,1824.0,nan,0.9968957414795554,nan
complete,20,,7,738.7919404560234,nan,1818.0,nan,0.9997445963422535,nan
complete,5,,10,28.1117463929113,nan,1090.0,nan,0.9999999993305555,nan
complete,6,,10,44.92279844894074,nan,1186.0,nan,0.9999999187593276,nan
complete,7,,10,117.707879235968,nan,2260.0,nan,0.999999931934501,nan
complete,8,,10,215.5270318358671,nan,3200.0,nan,0.9999989819240058,nan
complete,9,,10,325.2641494588461,nan,3600.0,nan,0.9999995921694893,nan
complete,10,,10,541.4331629180815,nan,4796.0,nan,0.984763820341616,nan
complete,11,,10,314.232561141951,nan,2766.0,nan,0.9999937507951202,nan
complete,12,,10,299.2421900460031,nan,2284.0,nan,0.9999922685687714,nan
complete,13,,10,369.7321632448584,nan,2438.0,nan,0.9999952435860564,nan
complete,14,,10,573.0854527479969,nan,3106.0,nan,0.9999738291866294,nan
complete,15,,10,649.9546637330204,nan,2996.0,nan,0.9999727396664753,nan
complete,16,,10,648.9984451199416,nan,2580.0,nan,0.9999530353094173,nan
