family,N,q,p,relax_ratio_mean,relax_ratio_stderr,opt_warm_ratio_mean,opt_warm_ratio_stderr,opt_cold_ratio_mean,opt_cold_ratio_stderr
complete,10,,1,-1.5,nan,0.48547756404623854,nan,0.48547756404632025,nan
complete,11,,1,-16.5,nan,0.48553568955648885,nan,0.48553568955642135,nan
complete,12,,1,-5.0,nan,0.4855761741348985,nan,0.48557617413494825,nan
complete,13,,1,-34.0,nan,0.48561196670053874,nan,0.4856119667004677,nan
complete,14,,1,-45.0,nan,0.485647882165253,nan,0.48564788216462773,nan
complete,15,,1,-45.0,nan,0.4856853988944536,nan,0.48568539889400597,nan
complete,16,,1,-10.0,nan,0.4857246515008242,nan,0.4857246515008953,nan
complete,17,,1,-16.5,nan,0.48576527873420616,nan,0.4857652787350162,nan
complete,18,,1,-34.0,nan,0.4858067842236409,nan,0.4858067842226532,nan
complete,19,,1,-34.0,nan,0.4858486844219527,nan,0.48584868442223694,nan
complete,20,,1,-34.0,nan,0.4858905623680698,nan,0.4858905623693772,nan
complete,5,,2,-5.0,nan,0.6815264293803784,nan,0.6815264293803782,nan
complete,6,,2,1.0,nan,0.07172309422880119,nan,0.07172309422880296,nan
complete,7,,2,-5.0,nan,-1.658340025571973,nan,-1.6583400255719671,nan
complete,8,,2,-1.5,nan,-0.6980026252486908,nan,-0.6980026252486837,nan
complete,9,,2,-16.5,nan,-1.8530530900667053,nan,-1.853053090066715,nan
complete,10,,2,-10.0,nan,-0.16416032419403592,nan,-0.16416032419398086,nan
complete,11,,2,-5.0,nan,-0.10005244892638743,nan,-0.10005244892626663,nan
complete,12,,2,-5.0,nan,-0.04579150018101075,nan,-0.04579150018073008,nan
complete,13,,2,-24.5,nan,-0.0008985523252427186,nan,-0.0008985523252960093,nan
complete,14,,2,-24.5,nan,0.03553825510210373,nan,0.03553825510207531,nan
complete,15,,2,-34.0,nan,0.06476066033399519,nan,0.0647606603330182,nan
complete,16,,2,-45.0,nan,0.08798598253474665,nan,0.08798598253409295,nan
complete,17,,2,-57.5,nan,0.10630779322839601,nan,0.10630779322725914,nan
complete,18,,2,-34.0,nan,0.12066195403789948,nan,0.12066195403919266,nan
complete,19,,2,-45.0,nan,0.1318286639366022,nan,0.13182866393599113,nan
complete,20,,2,-71.5,nan,0.14044861734058856,nan,0.14044861733898273,nan
complete,5,,3,1.0,nan,0.8403663603109415,nan,0.840366360310945,nan
complete,6,,3,-5.0,nan,0.8423136010058858,nan,0.8423136010058734,nan
complete,7,,3,-5.0,nan,-0.4754518553541578,nan,-0.4754518553541649,nan
complete,8,,3,-10.0,nan,0.3367661732176188,nan,0.33676617409938103,nan
complete,9,,3,-1.5,nan,-5.020313698083408,nan,-5.020313697219965,nan
complete,10,,3,-24.5,nan,0.7194679257738557,nan,0.7194679267594317,nan
complete,11,,3,-10.0,nan,0.7541682444452231,nan,0.7541682444455091,nan
complete,12,,3,-34.0,nan,0.7546956191611258,nan,0.7546956191613887,nan
complete,13,,3,-24.5,nan,0.7555734461247567,nan,0.7555734461256165,nan
complete,14,,3,-5.0,nan,0.7566099214339204,nan,0.7566099313160137,nan
complete,15,,3,-10.0,nan,0.7577084368605185,nan,0.7577084389921254,nan
complete,16,,3,-71.5,nan,0.7588154822251738,nan,0.7588154800567537,nan
complete,17,,3,-45.0,nan,0.7599001457661672,nan,0.7599001455533454,nan
complete,18,,3,-34.0,nan,0.7609445909133257,nan,0.7609446403229327,nan
complete,19,,3,-34.0,nan,0.7619392510432874,nan,0.7619393102647862,nan
complete,20,,3,-142.5,nan,0.7628796556926289,nan,0.7628796338260244,nan
complete,5,,5,-1.5,nan,0.9999999973884819,nan,0.999999986860161,nan
complete,6,,5,-5.0,nan,0.933725979315577,nan,0.9337259785363203,nan
complete,7,,5,-10.0,nan,0.6366762585283414,nan,0.6366762526794449,nan
complete,8,,5,0.5,nan,0.8610371080897554,nan,0.835751916778591,nan
complete,9,,5,-16.5,nan,0.44151002331706835,nan,0.4415100476827245,nan
complete,10,,5,-5.0,nan,-2.2880522124917597,nan,-2.2880521077880793,nan
complete,11,,5,-24.5,nan,0.9922270183236463,nan,0.992225580808249,nan
complete,12,,5,-16.5,nan,0.9910795095167302,nan,0.9910794965620582,nan
complete,13,,5,-24.5,nan,0.9912799119952638,nan,0.9912799849324045,nan
complete,14,,5,-10.0,nan,0.9915337705508129,nan,0.9915370107845476,nan
complete,15,,5,-5.0,nan,0.9917919805512412,nan,0.9917916331723191,nan
complete,16,,5,-57.5,nan,0.9920227679337827,nan,0.9920227684895906,nan
complete,17,,5,-34.0,nan,0.9922225911686127,nan,0.9540789166137316,nan
complete,18,,5,-45.0,nan,0.953438849941179,nan,0.953441807208506,nan
complete,19,,5,-10.0,nan,0.9899413634976497,nan,0.9925316795544035,nan
complete,20,,5,-87.0,nan,0.9521950190201949,nan,0.9522226574663719,nan
complete,5,,7,1.0,nan,0.9999999973792462,nan,0.9999999985559294,nan
complete,6,,7,-1.5,nan,0.9999999951515908,nan,0.999999989329905,nan
complete,7,,7,-5.0,nan,0.9379301600456991,nan,0.9999998015092215,nan
complete,8,,7,-10.0,nan,0.9704383174380933,nan,0.8774706570136157,nan
complete,9,,7,-5.0,nan,0.7866798433917808,nan,0.3804766272799398,nan
complete,10,,7,-5.0,nan,0.59854400662174,nan,0.47379800285108686,nan
complete,11,,7,-10.0,nan,0.9999707835299247,nan,0.9999812084160844,nan
complete,12,,7,-34.0,nan,0.9999700669585181,nan,0.9999005947035258,nan
complete,13,,7,-5.0,nan,0.9999783406524756,nan,0.9999323909903524,nan
complete,14,,7,-34.0,nan,0.9999617916385368,nan,0.9999881617032003,nan
complete,15,,7,-34.0,nan,0.9999881841929152,nan,0.9995477104247357,nan
complete,16,,7,-24.5,nan,0.9992394897240331,nan,0.9885233405253828,nan
complete,17,,7,-24.5,nan,0.9999387788675733,nan,0.999906340197299,nan
complete,18,,7,-57.5,nan,0.9998562992286608,nan,0.9998470112443627,nan
complete,19,,7,-24.5,nan,0.9968957414795554,nan,0.9983227332511717,nan
complete,20,,7,-87.0,nan,0.9997445963422535,nan,0.9993732507703044,nan
complete,5,,10,-1.5,nan,0.9999999993305555,nan,0.9999999972936262,nan
complete,6,,10,-5.0,nan,0.9999999187593276,nan,0.9999999874090846,nan
complete,7,,10,-1.5,nan,0.999999931934501,nan,0.9999999945533453,nan
complete,8,,10,-5.0,nan,0.9999989819240058,nan,0.9999998118718993,nan
complete,9,,10,-1.5,nan,0.9999995921694893,nan,0.999987157538655,nan
complete,10,,10,-16.5,nan,0.984763820341616,nan,0.9999977532745135,nan
complete,11,,10,-1.5,nan,0.9999937507951202,nan,0.999996207540768,nan
complete,12,,10,-34.0,nan,0.9999922685687714,nan,0.9999934529849099,nan
complete,13,,10,-34.0,nan,0.9999952435860564,nan,0.9999945425260606,nan
complete,14,,10,-45.0,nan,0.9999738291866294,nan,0.9999242968399606,nan
complete,15,,10,-1.5,nan,0.9999727396664753,nan,0.9998198352151917,nan
complete,16,,10,-24.5,nan,0.9999530353094173,nan,0.9999689726176442,nan
complete,17,,10,-57.5,nan,0.999665449843306,nan,0.9998927008157494,nan
complete,18,,10,-87.0,nan,0.9997447227846834,nan,0.999911827060231,nan
complete,19,,10,-24.5,nan,0.9987536307738765,nan,0.9998175605116302,nan
complete,20,,10,-57.5,nan,0.9994729379984335,nan,0.9995623474435291,nan
linear,5,,1,1.0,nan,0.7609179498889121,nan,0.4770887242410568,nan
linear,6,,1,1.0,nan,0.6552735643338948,nan,0.5778230669070666,nan
linear,7,,1,1.0,nan,0.521499000442524,nan,0.5094734937667075,nan
linear,8,,1,1.0,nan,0.6524311485417995,nan,0.5858857052750643,nan
linear,9,,1,1.0,nan,0.5475783410097541,nan,0.5299873882077235,nan
linear,10,,1,1.0,nan,0.6516310409342688,nan,0.5913636419327771,nan
linear,11,,1,1.0,nan,0.5650796647985682,nan,0.5440058789538816,nan
linear,12,,1,1.0,nan,0.6514201434116033,nan,0.5952489256849921,nan
linear,13,,1,1.0,nan,0.577625518672641,nan,0.5541615602892962,nan
linear,14,,1,1.0,nan,0.6514125328014478,nan,0.5981292696767981,nan
linear,15,,1,1.0,nan,0.5870562435317541,nan,0.5618481765161796,nan
linear,16,,1,1.0,nan,0.6514798531704129,nan,0.6003438323954946,nan
linear,17,,1,1.0,nan,0.5944027269892924,nan,0.5678649306226595,nan
linear,18,,1,1.0,nan,0.6515733628188524,nan,0.6020971349463955,nan
linear,19,,1,1.0,nan,0.6002866467356336,nan,0.5727010628540825,nan
linear,20,,1,1.0,nan,0.6516731134545539,nan,0.603518611915357,nan
linear,5,,2,1.0,nan,0.9072021145803572,nan,0.6468575260894188,nan
linear,6,,2,1.0,nan,0.7986018717782231,nan,0.7536307829612978,nan
linear,7,,2,1.0,nan,0.7864319812849296,nan,0.6456842273740792,nan
linear,8,,2,1.0,nan,0.8003361235341906,nan,0.726341550679112,nan
linear,9,,2,1.0,nan,0.7885300197691671,nan,0.5758422155850103,nan
linear,10,,2,1.0,nan,0.8021573257127207,nan,0.6456462721749512,nan
linear,11,,2,1.0,nan,0.7909577865495252,nan,0.59629290808391,nan
linear,12,,2,1.0,nan,0.8036809097266001,nan,0.6546038619221914,nan
linear,13,,2,1.0,nan,0.7931840908105589,nan,0.6111040398292577,nan
linear,14,,2,1.0,nan,0.8049162452128533,nan,0.6611440813539683,nan
linear,15,,2,1.0,nan,0.7951187187261702,nan,0.6223026219432767,nan
linear,16,,2,1.0,nan,0.8059215513248035,nan,0.6661169383160279,nan
linear,17,,2,1.0,nan,0.7967784968032646,nan,0.6310589584713314,nan
linear,18,,2,1.0,nan,0.8067494740479753,nan,0.6700211627746265,nan
linear,19,,2,1.0,nan,0.7982030532523511,nan,0.6380903068268008,nan
linear,20,,2,1.0,nan,0.807440482742031,nan,0.6731659258254563,nan
linear,5,,3,1.0,nan,0.9780357495886963,nan,0.5763579225478506,nan
linear,6,,3,1.0,nan,0.8437711961518143,nan,0.7502741333849344,nan
linear,7,,3,1.0,nan,0.9877819282835233,nan,0.6571151792320378,nan
linear,8,,3,1.0,nan,0.7703899905831545,nan,0.7518994411119441,nan
