family,N,q,p,sample_idx,relax_ratio,opt_warm_ratio,opt_cold_ratio
Gilbert,6,0.25,5,0,1.0,0.9998167938489363,0.9951190784918571
Gilbert,6,0.25,5,1,1.0,0.9645117877217596,0.8252266588583947
Gilbert,6,0.25,5,2,1.0,0.9998167938489356,0.9951190784924148
Gilbert,6,0.25,5,3,1.0,0.8708818227453065,0.6666666666630486
Gilbert,6,0.25,5,4,1.0,0.9928839723630967,0.9509302511863632
Gilbert,6,0.25,5,5,1.0,0.9999999999981695,0.9999999998762439
Gilbert,6,0.25,5,6,1.0,0.9991392329528528,0.9623180687602492
Gilbert,6,0.25,5,7,1.0,0.7500000000000003,0.5000000000000008
Gilbert,6,0.25,5,8,1.0,0.9999999977167747,0.9005311515615316
Gilbert,6,0.25,5,9,1.0,0.9999999999981685,0.9999999998762439
Gilbert,7,0.25,5,0,0.125,0.7834552367235432,0.7975522500588981
Gilbert,7,0.25,5,1,1.0,0.9829905624345863,0.6351794763463552
Gilbert,7,0.25,5,2,1.0,0.9999999995656909,0.6510087201511564
Gilbert,7,0.25,5,3,1.0,0.9999999991470048,0.6937516080276533
Gilbert,7,0.25,5,4,1.0,0.9987432756481261,0.9797126502116685
Gilbert,7,0.25,5,5,1.0,0.9970111721658885,0.9923970817532677
